"delegate","delegate-matched","type","state","party","value","pac","committee-id","committee","title","rank","score"
"Hensarling, Jeb","Jeb Hensarling","Representative","TX","R",2000,"Allianz of America","HSBA","House Committee on Financial Services","Chair",1,32752
"Hensarling, Jeb","Jeb Hensarling","Representative","TX","R",2000,"Allianz of America","HSBA04","Housing and Insurance","Ex Officio",13,32752
"Hensarling, Jeb","Jeb Hensarling","Representative","TX","R",2000,"Allianz of America","HSBA09","Oversight and Investigations","Ex Officio",13,32752
"Hensarling, Jeb","Jeb Hensarling","Representative","TX","R",2000,"Allianz of America","HSBA15","Financial Institutions and Consumer Credit","Ex Officio",18,32752
"Hensarling, Jeb","Jeb Hensarling","Representative","TX","R",2000,"Allianz of America","HSBA16","Capital Markets and Government Sponsored Enterprises","Ex Officio",18,32752
"Hensarling, Jeb","Jeb Hensarling","Representative","TX","R",2000,"Allianz of America","HSBA20","Monetary Policy and Trade","Ex Officio",13,32752
"Huffman, Jared","Jared Huffman","Representative","CA","D",2250,"Allianz of America","HSII","House Committee on Natural Resources","Member",8,16369
"Huffman, Jared","Jared Huffman","Representative","CA","D",2250,"Allianz of America","HSII10","Federal Lands","Member",5,16369
"Huffman, Jared","Jared Huffman","Representative","CA","D",2250,"Allianz of America","HSII13","Water, Power and Oceans","Ranking Member",1,16369
"Huffman, Jared","Jared Huffman","Representative","CA","D",2250,"Allianz of America","HSII15","Oversight and Investigations","Member",2,16369
"Huffman, Jared","Jared Huffman","Representative","CA","D",2250,"Allianz of America","HSPW","House Committee on Transportation and Infrastructure","Member",24,16369
"Huffman, Jared","Jared Huffman","Representative","CA","D",2250,"Allianz of America","HSPW02","Water Resources and Environment","Member",5,16369
"Huffman, Jared","Jared Huffman","Representative","CA","D",2250,"Allianz of America","HSPW12","Highways and Transit","Member",15,16369
"Kelly, Mike","Mike Kelly","Representative","PA","R",750,"Allianz of America","HSWM","House Committee on Ways and Means","Member",17,2036
"Kelly, Mike","Mike Kelly","Representative","PA","R",750,"Allianz of America","HSWM01","Social Security","Member",5,2036
"Kelly, Mike","Mike Kelly","Representative","PA","R",750,"Allianz of America","HSWM04","Trade","Member",9,2036
"Kelly, Mike","Mike Kelly","Representative","PA","R",750,"Allianz of America","HSWM05","Tax Policy","Member",6,2036
"Kind, Ron","Ron Kind","Representative","WI","D",750,"Allianz of America","HSWM","House Committee on Ways and Means","Member",11,502
"Kind, Ron","Ron Kind","Representative","WI","D",750,"Allianz of America","HSWM02","Health","Member",3,502
"Kind, Ron","Ron Kind","Representative","WI","D",750,"Allianz of America","HSWM04","Trade","Member",4,502
"Kline, John","John Kline","Representative","MN","R",2000,"Allianz of America","HSAS","House Committee on Armed Services","Member",9,2036
"Kline, John","John Kline","Representative","MN","R",2000,"Allianz of America","HSAS02","Military Personnel","Member",3,2036
"Kline, John","John Kline","Representative","MN","R",2000,"Allianz of America","HSAS26","Emerging Threats and Capabilities","Member",2,2036
"Kline, John","John Kline","Representative","MN","R",2000,"Allianz of America","HSED","House Committee on Education and the Workforce","Chair",1,2036
"Lucas, Frank D","Frank D. Lucas","Representative","OK","R",700,"Allianz of America","HSAG","House Committee on Agriculture","Member",3,367
"Lucas, Frank D","Frank D. Lucas","Representative","OK","R",700,"Allianz of America","HSAG15","Conservation and Forestry","Member",2,367
"Lucas, Frank D","Frank D. Lucas","Representative","OK","R",700,"Allianz of America","HSAG16","General Farm Commodities and Risk Management","Member",2,367
"Lucas, Frank D","Frank D. Lucas","Representative","OK","R",700,"Allianz of America","HSAG22","Commodity Exchanges, Energy, and Credit","Member",3,367
"Lucas, Frank D","Frank D. Lucas","Representative","OK","R",700,"Allianz of America","HSBA","House Committee on Financial Services","Member",4,367
"Lucas, Frank D","Frank D. Lucas","Representative","OK","R",700,"Allianz of America","HSBA15","Financial Institutions and Consumer Credit","Member",3,367
"Lucas, Frank D","Frank D. Lucas","Representative","OK","R",700,"Allianz of America","HSBA20","Monetary Policy and Trade","Member",3,367
"Lucas, Frank D","Frank D. Lucas","Representative","OK","R",700,"Allianz of America","HSSY","House Committee on Science, Space, and Technology","Vice Chair",4,367
"Lucas, Frank D","Frank D. Lucas","Representative","OK","R",700,"Allianz of America","HSSY15","Research and Technology","Member",2,367
"Lucas, Frank D","Frank D. Lucas","Representative","OK","R",700,"Allianz of America","HSSY16","Space","Member",3,367
"Luetkemeyer, Blaine","Blaine Luetkemeyer","Representative","MO","R",2000,"Allianz of America","HSBA","House Committee on Financial Services","Member",12,524268
"Luetkemeyer, Blaine","Blaine Luetkemeyer","Representative","MO","R",2000,"Allianz of America","HSBA04","Housing and Insurance","Chair",1,524268
"Luetkemeyer, Blaine","Blaine Luetkemeyer","Representative","MO","R",2000,"Allianz of America","HSBA15","Financial Institutions and Consumer Credit","Member",7,524268
"Luetkemeyer, Blaine","Blaine Luetkemeyer","Representative","MO","R",2000,"Allianz of America","HSSM","House Committee on Small Business","Member",3,524268
"Luetkemeyer, Blaine","Blaine Luetkemeyer","Representative","MO","R",2000,"Allianz of America","HSSM25","Agriculture, Energy and Trade","Member",3,524268
"Luetkemeyer, Blaine","Blaine Luetkemeyer","Representative","MO","R",2000,"Allianz of America","HSSM26","Health and Technology","Member",2,524268
"Marchant, Kenny","Kenny Marchant","Representative","TX","R",1000,"Allianz of America","HSSO","House Committee on Ethics","Member",5,32752
"Marchant, Kenny","Kenny Marchant","Representative","TX","R",1000,"Allianz of America","HSWM","House Committee on Ways and Means","Member",13,32752
"Marchant, Kenny","Kenny Marchant","Representative","TX","R",1000,"Allianz of America","HSWM02","Health","Member",10,32752
"Marchant, Kenny","Kenny Marchant","Representative","TX","R",1000,"Allianz of America","HSWM04","Trade","Member",7,32752
"Marchant, Kenny","Kenny Marchant","Representative","TX","R",1000,"Allianz of America","HSWM06","Oversight","Member",7,32752
"Meeks, Gregory W","Gregory W. Meeks","Representative","NY","D",800,"Allianz of America","HSBA","House Committee on Financial Services","Member",5,1133
"Meeks, Gregory W","Gregory W. Meeks","Representative","NY","D",800,"Allianz of America","HSBA15","Financial Institutions and Consumer Credit","Member",2,1133
"Meeks, Gregory W","Gregory W. Meeks","Representative","NY","D",800,"Allianz of America","HSBA16","Capital Markets and Government Sponsored Enterprises","Member",10,1133
"Meeks, Gregory W","Gregory W. Meeks","Representative","NY","D",800,"Allianz of America","HSFA","House Committee on Foreign Affairs","Member",3,1133
"Meeks, Gregory W","Gregory W. Meeks","Representative","NY","D",800,"Allianz of America","HSFA07","The Western Hemisphere","Member",4,1133
"Meeks, Gregory W","Gregory W. Meeks","Representative","NY","D",800,"Allianz of America","HSFA14","Europe, Eurasia, and Emerging Threats","Ranking Member",1,1133
"Messer, Luke","Luke Messer","Representative","IN","R",1000,"Allianz of America","HSBA","House Committee on Financial Services","Member",26,4083
"Messer, Luke","Luke Messer","Representative","IN","R",1000,"Allianz of America","HSBA16","Capital Markets and Government Sponsored Enterprises","Member",14,4083
"Messer, Luke","Luke Messer","Representative","IN","R",1000,"Allianz of America","HSBA20","Monetary Policy and Trade","Member",8,4083
"Messer, Luke","Luke Messer","Representative","IN","R",1000,"Allianz of America","HSED","House Committee on Education and the Workforce","Member",13,4083
"Messer, Luke","Luke Messer","Representative","IN","R",1000,"Allianz of America","HSED02","Health, Employment, Labor, and Pensions","Member",9,4083
"Messer, Luke","Luke Messer","Representative","IN","R",1000,"Allianz of America","HSED13","Higher Education and Workforce Training","Member",7,4083
"Moore, Gwen","Gwen Moore","Representative","WI","D",1750,"Allianz of America","HSBA","House Committee on Financial Services","Member",13,2036
"Moore, Gwen","Gwen Moore","Representative","WI","D",1750,"Allianz of America","HSBA04","Housing and Insurance","Member",6,2036
"Moore, Gwen","Gwen Moore","Representative","WI","D",1750,"Allianz of America","HSBA20","Monetary Policy and Trade","Ranking Member",1,2036
"Moore, Gwen","Gwen Moore","Representative","WI","D",1750,"Allianz of America","HSBU","House Committee on the Budget","Member",5,2036
"Murphy, Patrick","Patrick Murphy","Representative","FL","D",700,"Allianz of America","HLIG","House Permanent Select Committee on Intelligence","Member",9,32752
"Murphy, Patrick","Patrick Murphy","Representative","FL","D",700,"Allianz of America","HLIG02","National Security Agency and Cybersecurity","Member",4,32752
"Murphy, Patrick","Patrick Murphy","Representative","FL","D",700,"Allianz of America","HLIG04","Department of Defense Intelligence and Overhead Architecture","Member",4,32752
"Murphy, Patrick","Patrick Murphy","Representative","FL","D",700,"Allianz of America","HSBA","House Committee on Financial Services","Member",21,32752
"Murphy, Patrick","Patrick Murphy","Representative","FL","D",700,"Allianz of America","HSBA16","Capital Markets and Government Sponsored Enterprises","Member",13,32752
"Murphy, Patrick","Patrick Murphy","Representative","FL","D",700,"Allianz of America","HSBA20","Monetary Policy and Trade","Member",7,32752
"Neugebauer, Randy","Randy Neugebauer","Representative","TX","R",2000,"Allianz of America","HSAG","House Committee on Agriculture","Vice Chair",5,131054
"Neugebauer, Randy","Randy Neugebauer","Representative","TX","R",2000,"Allianz of America","HSAG03","Nutrition","Member",2,131054
"Neugebauer, Randy","Randy Neugebauer","Representative","TX","R",2000,"Allianz of America","HSAG16","General Farm Commodities and Risk Management","Member",3,131054
"Neugebauer, Randy","Randy Neugebauer","Representative","TX","R",2000,"Allianz of America","HSAG22","Commodity Exchanges, Energy, and Credit","Member",4,131054
"Neugebauer, Randy","Randy Neugebauer","Representative","TX","R",2000,"Allianz of America","HSBA","House Committee on Financial Services","Member",6,131054
"Neugebauer, Randy","Randy Neugebauer","Representative","TX","R",2000,"Allianz of America","HSBA15","Financial Institutions and Consumer Credit","Chair",1,131054
"Neugebauer, Randy","Randy Neugebauer","Representative","TX","R",2000,"Allianz of America","HSBA16","Capital Markets and Government Sponsored Enterprises","Member",5,131054
"Neugebauer, Randy","Randy Neugebauer","Representative","TX","R",2000,"Allianz of America","HSSY","House Committee on Science, Space, and Technology","Member",5,131054
"Neugebauer, Randy","Randy Neugebauer","Representative","TX","R",2000,"Allianz of America","HSSY18","Environment","Member",3,131054
"Neugebauer, Randy","Randy Neugebauer","Representative","TX","R",2000,"Allianz of America","HSSY20","Energy","Member",3,131054
"Paulsen, Erik","Erik Paulsen","Representative","MN","R",3250,"Allianz of America","HSWM","House Committee on Ways and Means","Member",12,8178
"Paulsen, Erik","Erik Paulsen","Representative","MN","R",3250,"Allianz of America","HSWM02","Health","Member",12,8178
"Paulsen, Erik","Erik Paulsen","Representative","MN","R",3250,"Allianz of America","HSWM04","Trade","Member",6,8178
"Paulsen, Erik","Erik Paulsen","Representative","MN","R",3250,"Allianz of America","JSEC","Joint Economic Committee","Member",5,8178
"Roskam, Peter","Peter J. Roskam","Representative","IL","R",500,"Allianz of America","HLZI","House Select Committee on the Events Surrounding the 2012 Terrorist Attack in Benghazi","Member",4,240
"Roskam, Peter","Peter J. Roskam","Representative","IL","R",500,"Allianz of America","HSWM","House Committee on Ways and Means","Member",7,240
"Roskam, Peter","Peter J. Roskam","Representative","IL","R",500,"Allianz of America","HSWM02","Health","Member",5,240
"Roskam, Peter","Peter J. Roskam","Representative","IL","R",500,"Allianz of America","HSWM06","Oversight","Chair",1,240
"Ross, Dennis","Dennis A. Ross","Representative","FL","R",2000,"Allianz of America","HSBA","House Committee on Financial Services","Member",21,273
"Ross, Dennis","Dennis A. Ross","Representative","FL","R",2000,"Allianz of America","HSBA04","Housing and Insurance","Member",9,273
"Ross, Dennis","Dennis A. Ross","Representative","FL","R",2000,"Allianz of America","HSBA16","Capital Markets and Government Sponsored Enterprises","Member",12,273
"Royce, Ed","Edward R. Royce","Representative","CA","R",2650,"Allianz of America","HSBA","House Committee on Financial Services","Member",3,34
"Royce, Ed","Edward R. Royce","Representative","CA","R",2650,"Allianz of America","HSBA04","Housing and Insurance","Member",3,34
"Royce, Ed","Edward R. Royce","Representative","CA","R",2650,"Allianz of America","HSBA16","Capital Markets and Government Sponsored Enterprises","Member",4,34
"Royce, Ed","Edward R. Royce","Representative","CA","R",2650,"Allianz of America","HSFA","House Committee on Foreign Affairs","Chair",1,34
"Ryan, Paul","Paul Ryan","Representative","WI","R",2000,"Allianz of America","JSTX","Joint Committee on Taxation","Chairman",1,1013
"Schweikert, David","David Schweikert","Representative","AZ","R",800,"Allianz of America","HSBA","House Committee on Financial Services","Member",27,131054
"Schweikert, David","David Schweikert","Representative","AZ","R",800,"Allianz of America","HSBA16","Capital Markets and Government Sponsored Enterprises","Member",15,131054
"Schweikert, David","David Schweikert","Representative","AZ","R",800,"Allianz of America","HSBA20","Monetary Policy and Trade","Member",9,131054
"Sherman, Brad","Brad Sherman","Representative","CA","D",800,"Allianz of America","HSBA","House Committee on Financial Services","Member",4,8178
"Sherman, Brad","Brad Sherman","Representative","CA","D",800,"Allianz of America","HSBA15","Financial Institutions and Consumer Credit","Member",7,8178
"Sherman, Brad","Brad Sherman","Representative","CA","D",800,"Allianz of America","HSBA16","Capital Markets and Government Sponsored Enterprises","Member",2,8178
"Sherman, Brad","Brad Sherman","Representative","CA","D",800,"Allianz of America","HSFA","House Committee on Foreign Affairs","Member",2,8178
"Sherman, Brad","Brad Sherman","Representative","CA","D",800,"Allianz of America","HSFA05","Asia and the Pacific","Ranking Member",1,8178
"Sherman, Brad","Brad Sherman","Representative","CA","D",800,"Allianz of America","HSFA18","Terrorism, Nonproliferation, and Trade","Member",2,8178
"Sinema, Kyrsten","Kyrsten Sinema","Representative","AZ","D",1000,"Allianz of America","HSBA","House Committee on Financial Services","Member",23,32752
"Sinema, Kyrsten","Kyrsten Sinema","Representative","AZ","D",1000,"Allianz of America","HSBA09","Oversight and Investigations","Member",8,32752
"Sinema, Kyrsten","Kyrsten Sinema","Representative","AZ","D",1000,"Allianz of America","HSBA15","Financial Institutions and Consumer Credit","Member",12,32752
"Stivers, Steve","Steve Stivers","Representative","OH","R",600,"Allianz of America","HSBA","House Committee on Financial Services","Member",16,16369
"Stivers, Steve","Steve Stivers","Representative","OH","R",600,"Allianz of America","HSBA04","Housing and Insurance","Member",8,16369
"Stivers, Steve","Steve Stivers","Representative","OH","R",600,"Allianz of America","HSBA16","Capital Markets and Government Sponsored Enterprises","Member",9,16369
"Stivers, Steve","Steve Stivers","Representative","OH","R",600,"Allianz of America","HSRU","House Committee on Rules","Member",6,16369
"Stivers, Steve","Steve Stivers","Representative","OH","R",600,"Allianz of America","HSRU04","Rules and Organization of the House","Chair",1,16369
"Thompson, Mike","Mike Thompson","Representative","CA","D",1250,"Allianz of America","HSWM","House Committee on Ways and Means","Member",8,16369
"Thompson, Mike","Mike Thompson","Representative","CA","D",1250,"Allianz of America","HSWM02","Health","Member",2,16369
"Thompson, Mike","Mike Thompson","Representative","CA","D",1250,"Allianz of America","HSWM05","Tax Policy","Member",4,16369
"Vargas, Juan","Juan Vargas","Representative","CA","D",700,"Allianz of America","HSBA","House Committee on Financial Services","Member",26,4083
"Vargas, Juan","Juan Vargas","Representative","CA","D",700,"Allianz of America","HSBA09","Oversight and Investigations","Member",9,4083
"Vargas, Juan","Juan Vargas","Representative","CA","D",700,"Allianz of America","HSBA15","Financial Institutions and Consumer Credit","Member",13,4083
"Vargas, Juan","Juan Vargas","Representative","CA","D",700,"Allianz of America","HSHA","House Committee on House Administration","Member",3,4083
"Vargas, Juan","Juan Vargas","Representative","CA","D",700,"Allianz of America","JSPR","Joint Committee on Printing","Member",2,4083
"Alexander, Lamar","Lamar Alexander","Senator","TN","R",1000,"Allianz of America","SSAP","Senate Committee on Appropriations","Member",4,65519
"Alexander, Lamar","Lamar Alexander","Senator","TN","R",1000,"Allianz of America","SSAP02","Department of Defense","Member",4,65519
"Alexander, Lamar","Lamar Alexander","Senator","TN","R",1000,"Allianz of America","SSAP16","Commerce, Justice, Science, and Related Agencies","Member",2,65519
"Alexander, Lamar","Lamar Alexander","Senator","TN","R",1000,"Allianz of America","SSAP17","Department of the Interior, Environment, and Related Agencies","Member",2,65519
"Alexander, Lamar","Lamar Alexander","Senator","TN","R",1000,"Allianz of America","SSAP18","Departments of Labor, Health and Human Services, and Education, and Related Agencies","Member",5,65519
"Alexander, Lamar","Lamar Alexander","Senator","TN","R",1000,"Allianz of America","SSAP22","Energy and Water Development","Chairman",1,65519
"Alexander, Lamar","Lamar Alexander","Senator","TN","R",1000,"Allianz of America","SSAP24","Transportation, Housing and Urban Development, and Related Agencies","Member",3,65519
"Alexander, Lamar","Lamar Alexander","Senator","TN","R",1000,"Allianz of America","SSEG","Senate Committee on Energy and Natural Resources","Member",11,65519
"Alexander, Lamar","Lamar Alexander","Senator","TN","R",1000,"Allianz of America","SSEG01","Energy","Member",7,65519
"Alexander, Lamar","Lamar Alexander","Senator","TN","R",1000,"Allianz of America","SSEG03","Public Lands, Forests, and Mining","Member",10,65519
"Alexander, Lamar","Lamar Alexander","Senator","TN","R",1000,"Allianz of America","SSEG04","National Parks","Member",4,65519
"Alexander, Lamar","Lamar Alexander","Senator","TN","R",1000,"Allianz of America","SSHR","Senate Committee on Health, Education, Labor, and Pensions","Chairman",1,65519
"Alexander, Lamar","Lamar Alexander","Senator","TN","R",1000,"Allianz of America","SSHR09","Children and Families","Ex Officio",8,65519
"Alexander, Lamar","Lamar Alexander","Senator","TN","R",1000,"Allianz of America","SSHR11","Employment and Workplace Safety","Ex Officio",7,65519
"Alexander, Lamar","Lamar Alexander","Senator","TN","R",1000,"Allianz of America","SSHR12","Primary Health and Retirement Security","Ex Officio",10,65519
"Alexander, Lamar","Lamar Alexander","Senator","TN","R",1000,"Allianz of America","SSRA","Senate Committee on Rules and Administration","Member",2,65519
"Blunt, Roy","Roy Blunt","Senator","MO","R",1000,"Allianz of America","JSLC","Joint Committee on the Library","Chairman",1,1013
"Blunt, Roy","Roy Blunt","Senator","MO","R",1000,"Allianz of America","JSPR","Joint Committee on Printing","Vice Chairman",1,1013
"Blunt, Roy","Roy Blunt","Senator","MO","R",1000,"Allianz of America","SLIN","Senate Select Committee on Intelligence","Member",6,1013
"Blunt, Roy","Roy Blunt","Senator","MO","R",1000,"Allianz of America","SSAP","Senate Committee on Appropriations","Member",9,1013
"Blunt, Roy","Roy Blunt","Senator","MO","R",1000,"Allianz of America","SSAP01","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","Member",2,1013
"Blunt, Roy","Roy Blunt","Senator","MO","R",1000,"Allianz of America","SSAP02","Department of Defense","Member",8,1013
"Blunt, Roy","Roy Blunt","Senator","MO","R",1000,"Allianz of America","SSAP17","Department of the Interior, Environment, and Related Agencies","Member",4,1013
"Blunt, Roy","Roy Blunt","Senator","MO","R",1000,"Allianz of America","SSAP18","Departments of Labor, Health and Human Services, and Education, and Related Agencies","Chairman",1,1013
"Blunt, Roy","Roy Blunt","Senator","MO","R",1000,"Allianz of America","SSAP20","State, Foreign Operations, and Related Programs","Member",4,1013
"Blunt, Roy","Roy Blunt","Senator","MO","R",1000,"Allianz of America","SSAP24","Transportation, Housing and Urban Development, and Related Agencies","Member",5,1013
"Blunt, Roy","Roy Blunt","Senator","MO","R",1000,"Allianz of America","SSCM","Senate Committee on Commerce, Science, and Transportation","Member",3,1013
"Blunt, Roy","Roy Blunt","Senator","MO","R",1000,"Allianz of America","SSCM01","Aviation Operations, Safety, and Security","Member",3,1013
"Blunt, Roy","Roy Blunt","Senator","MO","R",1000,"Allianz of America","SSCM20","Consumer Protection, Product Safety, Insurance, and Data Security","Member",2,1013
"Blunt, Roy","Roy Blunt","Senator","MO","R",1000,"Allianz of America","SSCM25","Surface Transportation and Merchant Marine Infrastructure, Safety and Security","Member",3,1013
"Blunt, Roy","Roy Blunt","Senator","MO","R",1000,"Allianz of America","SSCM26","Communications, Technology, Innovation, and the Internet","Member",2,1013
"Blunt, Roy","Roy Blunt","Senator","MO","R",1000,"Allianz of America","SSRA","Senate Committee on Rules and Administration","Chairman",1,1013
"Capito, Shelley Moore","Shelley Moore Capito","Senator","WV","R",2500,"Allianz of America","JSLC","Joint Committee on the Library","Member",3,2097130
"Capito, Shelley Moore","Shelley Moore Capito","Senator","WV","R",2500,"Allianz of America","SSAP","Senate Committee on Appropriations","Member",13,2097130
"Capito, Shelley Moore","Shelley Moore Capito","Senator","WV","R",2500,"Allianz of America","SSAP08","Legislative Branch","Chairman",1,2097130
"Capito, Shelley Moore","Shelley Moore Capito","Senator","WV","R",2500,"Allianz of America","SSAP16","Commerce, Justice, Science, and Related Agencies","Member",8,2097130
"Capito, Shelley Moore","Shelley Moore Capito","Senator","WV","R",2500,"Allianz of America","SSAP18","Departments of Labor, Health and Human Services, and Education, and Related Agencies","Member",9,2097130
"Capito, Shelley Moore","Shelley Moore Capito","Senator","WV","R",2500,"Allianz of America","SSAP19","Military Construction and Veterans Affairs, and Related Agencies","Member",7,2097130
"Capito, Shelley Moore","Shelley Moore Capito","Senator","WV","R",2500,"Allianz of America","SSAP24","Transportation, Housing and Urban Development, and Related Agencies","Member",7,2097130
"Capito, Shelley Moore","Shelley Moore Capito","Senator","WV","R",2500,"Allianz of America","SSEG","Senate Committee on Energy and Natural Resources","Member",12,2097130
"Capito, Shelley Moore","Shelley Moore Capito","Senator","WV","R",2500,"Allianz of America","SSEG01","Energy","Member",9,2097130
